age,default_avatar,default_background,default_profile_background_color,default_profile_link_color,default_profile_sidebar_border_color,default_profile_sidebar_fill_color,default_profile_text_color,favourites_count,followers_by_friends,followers_by_status,followers_count,folpd,friends_by_status,friends_count,fripd,is_bot,lang,listed_count,statuses_count,time_zone_nil,tpd,utc_offset
78423424.892952,false,false,false,false,false,false,false,125,1.0122511485451762,0.024980159479989418,661,0.728231393591235,0.02467782774649484,653,0.719417700476694,false,en,11,26461,false,29.152391688077746,-21600
51552349.893007,false,false,false,false,false,false,false,2,1.6210106382978724,0.07293723448812302,1219,2.0430028935356486,0.04499491413869443,752,1.260326641459333,false,en,16,16713,false,28.0104244131796,-18000
94999370.89305,false,false,false,false,false,false,false,14,3.006006006006006,0.025261192146570435,1001,0.9103891866542965,0.008403573411396558,333,0.30285674241347676,false,en,22,39626,false,36.03904286749755,-18000
4586506.893078,false,false,true,true,true,true,true,1,0.7583892617449665,0.06438746438746439,113,2.128678802319925,0.0849002849002849,149,2.806841960582364,false,en,0,1755,true,33.06045396525586,
87344478.893104,false,false,false,false,false,false,false,37,1.5740740740740742,0.02195941097109395,765,0.7567278531810511,0.013950684616930276,486,0.48074475378561443,false,en,21,34837,false,34.460298328456446,-18000
46467330.893129,false,false,false,false,false,false,false,6,1.346820809248555,0.044653123802223076,233,0.4332334053422928,0.03315446531238022,173,0.32167115503957033,false,en,2,5218,false,9.702197034662138,-21600
88172384.89315699,false,false,false,false,false,false,false,140,1.1564885496183206,0.006452986902353317,303,0.296909287774408,0.00557981045682036,262,0.2567334435541144,false,en,2,46955,false,46.011140618640134,-18000
60522335.893183,false,false,false,true,false,false,true,797,1.3460674157303372,0.03755407410503438,1797,2.5653471186903603,0.027899103467012184,1335,1.9058087943526676,false,en,7,47851,false,68.31075402140151,-18000
44327369.893209,false,false,false,false,false,false,false,4,1.0135440180586908,0.057372859698441095,449,0.8751613301997159,0.05660618451316126,443,0.8634665240055494,false,en,6,7826,false,15.253925545976479,-21600
39979669.893243,false,false,false,false,false,false,false,13,1.0776119402985074,0.0469196776709124,361,0.7801565166315427,0.043540421107356383,335,0.7239679586470356,false,en,0,7694,false,16.627490966659252,-32400
5173595.893279,false,false,false,false,false,false,false,12,1.0547945205479452,0.1142433234421365,77,1.285914117999613,0.1083086053412463,73,1.2191133845975068,false,en,0,674,true,11.255923578342978,
29342761.893305,false,false,false,false,false,false,false,184,1.1517509727626458,0.06083025071927661,296,0.8715743968814705,0.05281545417180436,257,0.7567385810761932,false,en,0,4866,false,14.327976402790398,-28800
27094368.893345,false,false,false,false,false,false,false,115,1.1147540983606556,0.019005030743432086,68,0.21684210557274503,0.017048630519843486,61,0.19452012411674868,false,en,0,3578,false,11.409721378521795,-28800
47308154.893387,false,false,false,false,false,false,false,0,0.9829867674858223,0.30250145433391507,520,0.9496882747011054,0.3077370564281559,529,0.9661251871478962,false,en,4,1719,false,3.1394502773294963,-21600
41715330.893415,false,false,false,false,false,false,true,27,0.968503937007874,0.00872959545777147,123,0.25475526077334876,0.009013484740951028,127,0.26303998470094997,false,en,1,14090,true,29.182940034933566,
40645422.893441,false,false,false,false,false,false,true,137,0.7574626865671642,0.08645655877342419,203,0.43151722263979037,0.1141396933560477,268,0.5696877619087027,false,en,0,2348,false,4.991145018513928,-28800
48480991.893468,false,false,false,false,false,false,true,13,1.188235294117647,0.023683901981474968,202,0.3599926346051033,0.019931996717082893,170,0.3029640984300437,false,en,0,8529,false,15.199887032411466,-21600
17779286.893495,false,false,false,false,false,false,true,10,0.5498652291105122,0.11162790697674418,408,1.9827116920468641,0.2030095759233926,742,3.6058139105366136,false,en,0,3655,false,17.76179224125715,-28800
37289097.893522,false,true,true,true,true,true,true,3,0.9736842105263158,0.038813127528847594,518,1.2002221166032294,0.03986213097557321,532,1.2326605521872327,false,en,0,13346,false,30.923097235887468,-21600
94499290.893578,false,true,true,true,true,true,true,1,0.3620689655172414,0.2978723404255319,42,0.03840028814698789,0.8226950354609929,116,0.10605793869168757,false,en,0,141,false,0.12891525306490154,-21600
51560825.89362,false,true,true,true,true,true,true,37,0.9726027397260274,0.0238628725072821,213,0.3569221338301849,0.024535066099036523,219,0.366976278445134,false,en,0,8926,false,14.95721580548581,-21600
